Nombre,URL
"Kreuzer de los Países Bajos austríacos‎","https://colnect.com/es/coins/list/currency/2892-Kreuzer_de_los_Pa%C3%ADses_Bajos_austr%C3%ADacos"
"Kromstaart belga‎","https://colnect.com/es/coins/list/currency/2870-Kromstaart_belga"
"Labaye neerlandés‎","https://colnect.com/es/coins/list/currency/2877-Labaye_neerland%C3%A9s"
"Lam neerlandés‎","https://colnect.com/es/coins/list/currency/2855-Lam_neerland%C3%A9s"
"Larin iraquí‎","https://colnect.com/es/coins/list/currency/2303-Larin_iraqu%C3%AD"
"León dalar, Noruega‎","https://colnect.com/es/coins/list/currency/2451-Le%C3%B3n_dalar_Noruega"
"León de oro belga‎","https://colnect.com/es/coins/list/currency/2879-Le%C3%B3n_de_oro_belga"
"Libra de Hejaz - £‎","https://colnect.com/es/coins/list/currency/1343-%C2%A3_-_Libra_de_Hejaz"
"Libra de Uganda‎","https://colnect.com/es/coins/list/currency/2608-Libra_de_Uganda"
"Libra escocesa‎","https://colnect.com/es/coins/list/currency/2473-Libra_escocesa"
"Libra Francesa Tournois‎","https://colnect.com/es/coins/list/currency/1350-Libra_Francesa_Tournois"
"Libra portuguesa‎","https://colnect.com/es/coins/list/currency/3016-Libra_portuguesa"
"Libra Saudí‎","https://colnect.com/es/coins/list/currency/2195-Libra_Saud%C3%AD"
"Ligurino de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2679-Ligurino_de_los_Estados_italianos"
"Likuta Zaireño‎","https://colnect.com/es/coins/list/currency/1277-Likuta_Zaire%C3%B1o"
"Lion daler de Dinamarca‎","https://colnect.com/es/coins/list/currency/2227-Lion_daler_de_Dinamarca"
"Lis de oro francés‎","https://colnect.com/es/coins/list/currency/3005-Lis_de_oro_franc%C3%A9s"
"Livra Francesa Colonial‎","https://colnect.com/es/coins/list/currency/932-Livra_Francesa_Colonial"
"Luhlanga Swazi‎","https://colnect.com/es/coins/list/currency/2156-Luhlanga_Swazi"
"Maille de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2700-Maille_de_los_Estados_italianos"
"Maille Español-Holandés‎","https://colnect.com/es/coins/list/currency/2873-Maille_Espa%C3%B1ol-Holand%C3%A9s"
"Maiorina pecunia, Imperio Romano‎","https://colnect.com/es/coins/list/currency/3101-Maiorina_pecunia_Imperio_Romano"
"Mangir yemení‎","https://colnect.com/es/coins/list/currency/2784-Mangir_yemen%C3%AD"
"Masenetta de los Estados italianos‎","https://colnect.com/es/coins/list/currency/2673-Masenetta_de_los_Estados_italianos"
